,freq,n_s,n_p
0,78328411400.0,1.2021834274969863,1.2870191254615104
1,83223937100.0,1.20996972706526,1.3010183071036805
2,88119462800.0,1.2082264107542002,1.2962004227807644
3,93014988500.0,1.2078071885482722,1.2940000933297238
4,97910514200.0,1.20763731656751,1.2922798871606695
5,102806040000.0,1.2104297491544929,1.2960961083841382
6,107701566000.0,1.209488679536202,1.2928809950278228
7,112597091000.0,1.2158248306998194,1.3030599629377002
8,117492617000.0,1.217810229552323,1.3051025925517332
9,122388143000.0,1.218989116344068,1.3055904175728428
10,127283668000.0,1.2208917474305347,1.3073541141387315
11,132179194000.0,1.2229347763823555,1.3092902041210766
12,137074720000.0,1.2239397157965666,1.3093423627732754
13,141970246000.0,1.2253266032741674,1.3100373915297783
14,146865771000.0,1.2264686020325681,1.3102841379710743
15,151761297000.0,1.2291551927186202,1.3131305420796693
16,156656823000.0,1.2325663640308648,1.3171273794710912
17,161552348000.0,1.2345642692069292,1.3186829774114932
18,166447874000.0,1.237549912452455,1.3218285178423543
19,171343400000.0,1.2401716966913812,1.3243134040285929
20,176238926000.0,1.2432049891554524,1.3274127160159281
21,181134451000.0,1.2461698992741364,1.3303421664428283
22,186029977000.0,1.248439590366023,1.332113346690278
23,190925503000.0,1.2516889328069911,1.3353948735345942
24,195821028000.0,1.2544390087685102,1.3378417887152856
25,200716554000.0,1.2572312772822543,1.3403173857291941
26,205612080000.0,1.2599684607544652,1.3426697779565702
27,210507606000.0,1.26335896052392,1.3459830074473271
28,215403131000.0,1.2656565693618116,1.347605424502133
29,220298657000.0,1.2694487421926917,1.3514421269516221
30,225194183000.0,1.273152740414864,1.3550969712883272
31,230089708000.0,1.2761250813440466,1.3576345669127512
32,234985234000.0,1.2792199874885517,1.3603227813571133
33,239880760000.0,1.2818575299141994,1.362328406742367
34,244776286000.0,1.2872652392928166,1.3682834195814622
35,249671811000.0,1.2903386746922565,1.370850793450021
36,254567337000.0,1.295598378848711,1.3764833250153565
37,259462863000.0,1.3017513978133928,1.3833015161971545
38,264358388000.0,1.295650013734329,1.3730053854491846
39,269253914000.0,1.3052486895593274,1.384554285280663
40,274149440000.0,1.3085543353314926,1.387339386188134
41,279044965000.0,1.3131464399661912,1.3918645717028852
42,283940491000.0,1.3156410717841194,1.3935087085485216
43,288836017000.0,1.318211179973432,1.395260790257023
44,293731543000.0,1.3242916012081496,1.4017067974595816
45,298627068000.0,1.328531215645196,1.4056500970434924
46,303522594000.0,1.33416166830934,1.411405095588701
47,308418120000.0,1.341131740304447,1.418877028707456
48,313313645000.0,1.3373729559513472,1.4122737954688147
49,318209171000.0,1.3451910436261219,1.4208155480200704
50,323104697000.0,1.3539770742579014,1.4305374648333289
51,328000223000.0,1.3538901862785209,1.4287772509861734
52,332895748000.0,1.3601771003589076,1.4352097559431898
53,337791274000.0,1.3650872490786439,1.4398529660284751
54,342686800000.0,1.3689595897756288,1.4431613360227376
55,347582325000.0,1.3750797522625329,1.4492929544772566
56,352477851000.0,1.3762198869352362,1.4491365425563727
57,357373377000.0,1.384249101246833,1.4576260389247255
58,362268903000.0,1.3919872853846553,1.465697944291718
59,367164428000.0,1.3968712782869728,1.4701969957183652
60,372059954000.0,1.4012759206502168,1.4740867713200205
61,376955480000.0,1.406251929287373,1.4786706579822806
62,381851005000.0,1.409664176997876,1.4813314497478245
63,386746531000.0,1.4159620725835533,1.4875114586414555
64,391642057000.0,1.4205565263209854,1.4915975105995962
65,396537583000.0,1.4242857611568291,1.49462926435613
66,401433108000.0,1.4310526626172435,1.5013253680450356
67,406328634000.0,1.437783038166199,1.507958421591757
68,411224160000.0,1.4458613466240486,1.5161826828067484
69,416119685000.0,1.452453937574453,1.522612963055948
70,421015211000.0,1.4632644565984851,1.5340488077049592
71,425910737000.0,1.4656344754310224,1.5354083822545532
72,430806262000.0,1.4741590176905937,1.544069632838566
73,435701788000.0,1.4781912904887884,1.5473911455777816
74,440597314000.0,1.4879010972369602,1.5574045644390935
75,445492840000.0,1.4939268567262862,1.5630490359909457
76,450388365000.0,1.4986888736950759,1.5671812393545304
77,455283891000.0,1.5070100129446158,1.5754729754572414
78,460179417000.0,1.5155351300632809,1.5840018464213517
79,465074942000.0,1.5205579660935862,1.5884376135273752
80,469970468000.0,1.5288636099374653,1.5966972490112026
81,474865994000.0,1.515518202370431,1.5799086728309453
82,479761520000.0,1.52248744929608,1.5866655640654996
83,484657045000.0,1.5270972938442389,1.5906664127993981
84,489552571000.0,1.5298001351476846,1.5924667909146664
85,494448097000.0,1.5364361772114352,1.5988090715266527
86,499343622000.0,1.5446790617580566,1.6069554010622256
