,freq,0deg,90deg
0,48955257100.0,1.37044371,1.27409891
1,53850782800.0,1.37913998,1.29225059
2,58746308500.0,1.38419547,1.28599679
3,63641834200.0,1.40121435,1.2868889
4,68537359900.0,1.38735268,1.26601297
5,73432885700.0,1.3902645,1.27738368
6,78328411400.0,1.39156525,1.27942603
7,83223937100.0,1.39546185,1.29201374
8,88119462800.0,1.39929274,1.29139393
9,93014988500.0,1.39949838,1.2923092
10,97910514200.0,1.403966,1.29302203
11,102806040000.0,1.40387763,1.29721027
12,107701566000.0,1.40519612,1.29933602
13,112597091000.0,1.40710088,1.30136345
14,117492617000.0,1.40855747,1.30530551
15,122388143000.0,1.41170309,1.30716328
16,127283668000.0,1.41197823,1.31029216
17,132179194000.0,1.41593312,1.31418512
18,137074720000.0,1.41603287,1.31646544
19,141970246000.0,1.41902392,1.32037066
20,146865771000.0,1.42046786,1.32222362
21,151761297000.0,1.42380367,1.32659674
22,156656823000.0,1.42551178,1.32969262
23,161552348000.0,1.42788704,1.33352616
24,166447874000.0,1.43076538,1.33702553
25,171343400000.0,1.43263628,1.340285
26,176238926000.0,1.43704984,1.34507351
27,181134451000.0,1.44020019,1.34894729
28,186029977000.0,1.44510843,1.35435255
29,190925503000.0,1.43758904,1.35840693
30,195821028000.0,1.44989037,1.36314629
31,200716554000.0,1.43794201,1.36569996
32,205612080000.0,1.44480251,1.37166619
33,210507606000.0,1.44788624,1.37534491
34,215403131000.0,1.45191645,1.38166525
35,220298657000.0,1.45211292,1.38704533
36,225194183000.0,1.45340103,1.38803773
37,230089708000.0,1.45913424,1.38919613
38,234985234000.0,1.46378384,1.39020223
39,239880760000.0,1.46745724,1.39818767
40,244776286000.0,1.46853589,1.40201835
41,249671811000.0,1.4689674,1.40343498
42,254567337000.0,1.46254267,1.4047054
43,259462863000.0,1.46640609,1.40995873
44,264358388000.0,1.46945307,1.41465694
45,269253914000.0,1.47504882,1.42160559
46,274149440000.0,1.4769761,1.42484094
47,279044965000.0,1.48082769,1.42980975
48,283940491000.0,1.47908735,1.43231096
49,288836017000.0,1.47994767,1.43712387
50,293731543000.0,1.48150949,1.4397283
51,298627068000.0,1.48055076,1.44397448
52,303522594000.0,1.47864819,1.44497424
53,308418120000.0,1.47946203,1.44695431
54,313313645000.0,1.48041759,1.45001275
55,318209171000.0,1.48201815,1.45400804
56,323104697000.0,1.48436013,1.45758581
57,328000223000.0,1.48506085,1.46019706
58,332895748000.0,1.48744046,1.46002795
59,337791274000.0,1.48928964,1.46337083
60,342686800000.0,1.49143789,1.46557753
61,347582325000.0,1.49407424,1.47063786
62,352477851000.0,1.49618157,1.47085186
63,357373377000.0,1.49776049,1.47018363
64,362268903000.0,1.49929847,1.46824954
65,367164428000.0,1.50068725,1.46578024
66,372059954000.0,1.50105112,1.46906173
67,376955480000.0,1.5050452,1.46913323
68,381851005000.0,1.50800157,1.47253902
69,386746531000.0,1.50867527,1.47005656
70,391642057000.0,1.50805222,1.46784908
71,396537583000.0,1.50961915,1.46747598
72,401433108000.0,1.51162838,1.46664138
73,406328634000.0,1.51457733,1.42978225
74,411224160000.0,1.51845465,1.41394551
75,416119685000.0,1.51798841,1.41367898
76,421015211000.0,1.51871805,1.41202488
77,425910737000.0,1.51961482,1.41998324
78,430806262000.0,1.51271101,1.42775682
79,435701788000.0,1.51350345,1.42878209
80,440597314000.0,1.51944219,1.42441187
81,445492840000.0,1.52171236,1.4213462
82,450388365000.0,1.52304932,1.4236487
83,455283891000.0,1.52009401,1.43719345
84,460179417000.0,1.51904238,1.44558446
85,465074942000.0,1.52583176,1.44148367
86,469970468000.0,1.53036781,1.44088677
87,474865994000.0,1.52565028,1.44445299
88,479761520000.0,1.52539847,1.45824982
89,484657045000.0,1.52299847,1.46312815
90,489552571000.0,1.51799688,1.45369449
91,494448097000.0,1.52339416,1.45226908
92,499343622000.0,1.52593481,1.44647436
